Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L1      W       
Average :       58.29   8.934   0       0       45.26   44.77   76.69   
Optimum :       1.799   9.35    0       0       51.42   -1.8    78.41   
 
4-1     23      3.463   8.98    0       0       51.423  67.098  78.18   3.2013  3.3505  
4-2     39      2.791   9.03    0       0       26.217  30.674  76.47   3.3444  2.4176  
4-3     35      2.6083  8.96    0       0       27.987  -30.05  76.7    3.2436  2.525   
4-4     2       177.26  9.35    0       0       66.092  760.88  75.99   4       2.8333  
4-5     5       89.368  9.31    0       0       54.387  487.44  77.19   3.768   2.9549  
4-6     36      2.6083  8.96    0       0       27.987  -30.05  76.7    3.2436  2.525   
4-7     25      3.9991  8.94    0       0       27.121  -50.26  76.58   3.2217  2.4912  
4-8     11      24.383  8.59    0       0       52.101  -241.7  77.24   2.7264  3.4612  
4-9     28      4.558   8.95    0       0       19.051  -41.08  75.11   3.2983  2.0704  
4-10    33      2.1465  8.83    0       0       55.394  -40.83  78      3.0007  3.5339  
4-11    44      1.609   8.97    0       0       41.615  20.231  77.77   3.2074  3.0525  
4-12    14      10.371  8.8     0       0       38.502  -127.2  77.4    3.0141  2.9897  
4-13    3       177.26  9.35    0       0       66.092  760.88  75.99   4       2.8333  
4-14    13      11.71   9.05    0       0       60.105  171.28  78.35   3.2983  3.5137  
4-15    43      2.2234  8.98    0       0       25.812  -16.84  76.43   3.2799  2.4182  
4-16    15      8.694   9.07    0       0       42.259  119.7   77.72   3.3507  3.0065  
4-17    7       116.6   8.58    0       0       15.436  -295.4  73.56   2.9797  1.84    
4-18    8       52.295  8.58    0       0       35.104  -296.8  76.44   2.8103  2.8393  
4-19    24      3.463   8.98    0       0       51.423  67.098  78.18   3.2013  3.3505  
4-20    18      3.9686  8.98    0       0       54.371  77.574  78.27   3.1948  3.4331  
4-21    32      3.2972  8.96    0       0       23.489  -34.31  76.06   3.2735  2.309   
4-22    27      3.7505  8.94    0       0       26.246  -45.64  76.47   3.2354  2.4485  
4-23    10      34.157  8.59    0       0       44.547  -267.7  76.97   2.7611  3.2039  
4-24    12      27.946  8.69    0       0       35.845  -215.3  76.9    2.9126  2.8864  
4-25    4       159.6   9.34    0       0       52.325  642.14  75.93   3.9459  2.6752  
4-26    46      1.4022  8.88    0       0       50.573  -17.07  77.99   3.0778  3.3739  
4-27    41      1.789   8.93    0       0       39.134  -23.72  77.57   3.162   2.9827  
4-28    45      2.2478  8.99    0       0       23.316  -9.773  76.03   3.3096  2.292   
4-29    49      1.8355  8.99    0       0       27.314  -2.168  76.63   3.289   2.4835  
4-30    50      1.7993  8.99    0       0       27.841  -1.8    76.7    3.2853  2.5077  
4-31    19      4.6759  9.04    0       0       39.053  74.316  77.68   3.308   2.9267  
4-32    22      4.9921  9.07    0       0       27.855  62.895  76.67   3.3776  2.4767  
4-33    29      4.558   8.95    0       0       19.051  -41.08  75.11   3.2983  2.0704  
4-34    38      2.3812  8.94    0       0       32.756  -31.86  77.15   3.2023  2.7341  
4-35    16      6.6161  9.05    0       0       47.01   105.81  78.08   3.2942  3.1805  
4-36    21      7.2428  8.91    0       0       14.919  -52.76  73.69   3.3121  1.8166  
4-37    40      2.7009  8.98    0       0       23.11   -22.69  76      3.2929  2.2859  
4-38    31      3.7936  8.96    0       0       21.441  -37.28  75.68   3.2853  2.2026  
4-39    9       61.761  8.63    0       0       26.934  -282.8  75.9    2.9018  2.484   
4-40    37      2.6083  8.96    0       0       27.987  -30.05  76.7    3.2436  2.525   
4-41    47      2.2375  9.01    0       0       22.715  5.7307  75.91   3.3361  2.2552  
4-42    48      1.3422  8.96    0       0       40.524  9.3278  77.7    3.1999  3.0188  
4-43    30      3.8076  8.95    0       0       24.055  -42.62  76.16   3.2572  2.3402  
4-44    34      4.0414  9       0       0       16.116  26.387  73.97   3.4137  1.871   
4-45    20      4.6759  9.04    0       0       39.053  74.316  77.68   3.308   2.9267  
4-46    6       49.453  9.24    0       0       53.184  355.29  77.84   3.6092  3.1031  
4-47    26      3.1168  8.99    0       0       47.084  58.104  78.04   3.2213  3.2176  
4-48    17      5.4116  9.03    0       0       47.976  92.859  78.1    3.2673  3.222   
4-49    42      1.8293  8.94    0       0       35.867  -21.78  77.39   3.1916  2.8565  
4-50    1       585.51  7.43    0       0       64.277  -1369   71.58   1.8802  2.7182  
---------------------------------------------------------------------
Average :       34.04   8.932   0       0       37.2    7.002   76.65   
Optimum :       1.342   9.35    0       0       50.57   -1.8    78.35   
 
5-1     32      3.7262  8.96    0       0       21.099  -35.62  75.6    3.2903  2.1836  
5-2     11      10.813  9.04    0       0       59.462  162.44  78.33   3.2892  3.5046  
5-3     50      1.2683  8.95    0       0       41.193  6.2695  77.72   3.1899  3.0446  
